[2025-11-03 12:30:22] [INFO    ] discord.client: logging in using static token
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'MetabeeBOT', 'primary_guild': None, 'mfa_enabled': False, 'id': '1432391707496026265', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9543', 'clan': None, 'bot': True, 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376'}, 'session_type': 'normal', 'session_id': 'fa6e0e82eb028e76c4af9d337924dedf', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1235268950418260179'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['brazil', 'buenos-aires', 'santiago', 'atlanta', 'southafrica'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1432391707496026265', 'flags': 8945664}, '_trace': ['["gateway-prd-arm-us-east1-c-g7gj",{"micros":78956,"calls":["id_created",{"micros":495,"calls":[]},"session_lookup_time",{"micros":267,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-50",{"micros":77817,"calls":["start_session",{"micros":47852,"calls":["discord-api-rpc-75d66748db-96jhk",{"micros":39955,"calls":["get_user",{"micros":5248},"get_guilds",{"micros":3669},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":11},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":376},"apex_experiments",{"micros":3},"user_activities",{"micros":1},"played_application_ids",{"micros":1},"linked_users",{"micros":1}]}]},"starting_guild_connect",{"micros":56,"calls":[]},"presence_started",{"micros":2195,"calls":[]},"guilds_started",{"micros":59,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":27629,"calls":[]},"connect_finished",{"micros":27638,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-03 12:30:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-03 12:30:23] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: fa6e0e82eb028e76c4af9d337924dedf).
[2025-11-03 12:30:23] [DEBUG   ] discord.client: Dispatching event connect
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'lazy': True, 'moderator_reporting': None, 'inventory_settings': None, 'large': False, 'latest_onboarding_question_id': None, 'rules_channel_id': '1235269197395791964', 'icon': 'aca8cc6aa91aa2a60096f9ca82190b10', 'public_updates_channel_id': '1235269197395791965', 'default_message_notifications': 1, 'banner': None, 'premium_progress_bar_enabled': False, 'hub_type': None, 'profile': None, 'region': 'deprecated', 'guild_scheduled_events': [], 'explicit_content_filter': 2, 'id': '1235268950418260179', 'stickers': [], 'preferred_locale': 'en-US', 'mfa_level': 0, 'splash': None, 'application_command_counts': {}, 'name': 'Aa', 'afk_channel_id': None, 'nsfw_level': 0, 'discovery_splash': None, 'incidents_data': None, 'soundboard_sounds': [], 'max_stage_video_channel_users': 50, 'threads': [], 'owner_configured_content_level': None, 'afk_timeout': 300, 'vanity_url_code': None, 'description': None, 'features': ['NEWS', 'COMMUNITY'], 'system_channel_flags': 0, 'verification_level': 1, 'system_channel_id': '1235268951026700333', 'emojis': [], 'premium_subscription_count': 0, 'nsfw': False, 'activity_instances': [], 'home_header': None, 'safety_alerts_channel_id': None, 'premium_tier': 0, 'joined_at': '2025-10-27T15:43:54.788798+00:00', 'member_count': 8, 'roles': [{'version': 1714581526465, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2222085186637377', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1235268950418260179', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1714842226840, 'unicode_emoji': None, 'tags': {'bot_id': '1235269725882417343'}, 'position': 3, 'permissions': '8', 'name': 'Nearo', 'mentionable': False, 'managed': True, 'id': '1235270607013417162', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 16711915}, 'color': 16711915}, {'version': 1714842212475, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '8', 'name': 'role1', 'mentionable': False, 'managed': False, 'id': '1235276689722970191', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 65509}, 'color': 65509}, {'version': 1714677580124, 'unicode_emoji': None, 'tags': {'bot_id': '1235668873290842255'}, 'position': 1, 'permissions': '8', 'name': 'botzada', 'mentionable': False, 'managed': True, 'id': '1235672073746125012', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1738111573021, 'unicode_emoji': None, 'tags': {'bot_id': '289066747443675143'}, 'position': 1, 'permissions': '414501424448', 'name': 'owo', 'mentionable': False, 'managed': True, 'id': '1333961363973738542', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1738111672729, 'unicode_emoji': None, 'tags': {'bot_id': '297073686916366336'}, 'position': 1, 'permissions': '309238025216', 'name': 'Bathbot', 'mentionable': False, 'managed': True, 'id': '1333961782108225550', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761579834757, 'unicode_emoji': None, 'tags': {'bot_id': '1432391707496026265'}, 'position': 1, 'permissions': '3941734153713728', 'name': 'MetabeeBOT', 'mentionable': False, 'managed': True, 'id': '1432394387740168317', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_features': None, 'owner_id': '497067650346909727', 'unavailable': False, 'stage_instances': [], 'voice_states': [], 'embedded_activities': [], 'application_id': None, 'version': 1743892450946, 'max_members': 25000000, 'members': [{'user': {'username': 'MetabeeBOT', 'public_flags': 0, 'primary_guild': None, 'id': '1432391707496026265', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9543', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376'}, 'roles': ['1432394387740168317'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T15:43:54.788798+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'max_video_channel_users': 25, 'presences': [], 'channels': [{'version': 1714581468124, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1235268951026700331', 'flags': 0}, {'version': 1714581468155, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1235268951026700332', 'flags': 0}, {'version': 1714581468163, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1235268951026700331', 'name': 'general', 'last_message_id': '1432394388884951142', 'id': '1235268951026700333', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1714581468172, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1235268951026700332', 'name': 'General', 'last_message_id': '1314012818730778625', 'id': '1235268951026700334', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1714581526882, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1235268950418260179', 'deny': '2048', 'allow': '0'}], 'name': 'rules', 'last_message_id': None, 'id': '1235269197395791964', 'flags': 0}, {'version': 1714581526955, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1235268950418260179', 'deny': '1024', 'allow': '0'}], 'name': 'moderator-only', 'last_message_id': '1424584178380570734', 'id': '1235269197395791965', 'flags': 0}, {'version': 1744494507039, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1235268951026700331', 'nsfw': False, 'name': 'bots', 'last_message_id': '1434927583442501724', 'id': '1360733329841979513', 'flags': 0}, {'version': 1749916566683, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1235268951026700331', 'nsfw': False, 'name': 'simulate', 'last_message_id': '1383476146397511702', 'id': '1383475095992926329', 'flags': 0}]}}
[2025-11-03 12:30:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '4665800ba4316fe3e8cccbdc4d18acec', 'members': [{'user': {'username': 'owo', 'public_flags': 65536, 'primary_guild': None, 'id': '289066747443675143', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0498', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '0d8ad3a7a6b0a56f3527019c00ccc4b0'}, 'roles': ['1333961363973738542'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-01-29T00:46:13.054000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Bathbot', 'public_flags': 65536, 'primary_guild': None, 'id': '297073686916366336', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0459', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2ceabe1817f29638bedb49085e5731e4'}, 'roles': ['1333961782108225550'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-01-29T00:47:52.756000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'nearo_', 'public_flags': 4194560, 'primary_guild': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'id': '497067650346909727', 'global_name': 'nearo', 'display_name_styles': None, 'display_name': 'nearo', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '143de4d71e7c711f16b3866afba924ef'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-01T16:37:47.998000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Nearo', 'public_flags': 0, 'primary_guild': None, 'id': '1235269725882417343', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0480', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a0e965861bad17d2730c051bbac88b6f'}, 'roles': ['1235270607013417162'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-01T16:44:22.954000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'nearo2', 'public_flags': 0, 'primary_guild': None, 'id': '1235274934016676062', 'global_name': 'Nearo2', 'display_name_styles': None, 'display_name': 'Nearo2', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '79ee349b6511e2000af8a32fb8a6974e'}, 'roles': ['1235276689722970191'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-01T17:04:38.589000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'botzada', 'public_flags': 0, 'primary_guild': None, 'id': '1235668873290842255', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7414', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2824436df1cf34f56eead591e2f2732b'}, 'roles': ['1235672073746125012'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-02T19:19:40.157000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'eillish', 'public_flags': 0, 'primary_guild': None, 'id': '1422276969826881566', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2758', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-29T17:42:14.152090+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'MetabeeBOT', 'public_flags': 0, 'primary_guild': None, 'id': '1432391707496026265', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9543', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376'}, 'roles': ['1432394387740168317'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T15:43:54.788798+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1235268950418260179', 'chunk_index': 0, 'chunk_count': 1}}
[2025-11-03 12:30:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-03 12:30:23] [DEBUG   ] discord.state: Processed a chunk for 8 members in guild ID 1235268950418260179.
[2025-11-03 12:30:25] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-11-03 12:30:25] [DEBUG   ] discord.client: Dispatching event ready
[2025-11-03 12:30:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-03T15:30:23.731000+00:00', 'pinned': False, 'nonce': '1434927709263233024', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-01T16:37:47.998000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1434927701608759316', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!ajuda', 'components': [], 'channel_type': 0, 'channel_id': '1360733329841979513', 'author': {'username': 'nearo_', 'public_flags': 4194560, 'primary_guild': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'id': '497067650346909727', 'global_name': 'nearo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'avatar_decoration_data': None, 'avatar': '143de4d71e7c711f16b3866afba924ef'}, 'attachments': [], 'guild_id': '1235268950418260179'}}
[2025-11-03 12:30:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-03 12:30:25] [DEBUG   ] discord.client: Dispatching event message
[2025-11-03 12:30:25] [DEBUG   ] discord.client: Dispatching event command
[2025-11-03 12:30:26] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1432391707496026265/commands with [{"name":"help","description":"list commands","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-11-03 12:30:26] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-11-03 12:30:26] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1432391707496026265/commands has received [{'id': '1434924280617107548', 'application_id': '1432391707496026265', 'version': '1434924280617107549', 'default_member_permissions': None, 'type': 1, 'name': 'help', 'name_localizations': None, 'description': 'list commands', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2025-11-03 12:30:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-03T15:30:24.017000+00:00', 'pinned': False, 'nonce': '16873097503036052946', 'mentions': [{'username': 'nearo_', 'public_flags': 4194560, 'primary_guild': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-01T16:37:47.998000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '497067650346909727', 'global_name': 'nearo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'avatar_decoration_data': None, 'avatar': '143de4d71e7c711f16b3866afba924ef'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1432394387740168317'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T15:43:54.788798+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1434927702808334428', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Precisa de ajuda? <@497067650346909727>!\n\n1 - !help\n\n2 - !impressora_status_id + ID_DA_IMPRESSORA\n\n3 - impressora_status_name + NOME_DA_IMPRESSORA', 'components': [], 'channel_type': 0, 'channel_id': '1360733329841979513', 'author': {'username': 'MetabeeBOT', 'public_flags': 0, 'primary_guild': None, 'id': '1432391707496026265', 'global_name': None, 'display_name_styles': None, 'discriminator': '9543', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376'}, 'attachments': [], 'guild_id': '1235268950418260179'}}
[2025-11-03 12:30:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-03 12:30:26] [DEBUG   ] discord.client: Dispatching event message
[2025-11-03 12:30:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1360733329841979513/messages with {"content":"Precisa de ajuda? <@497067650346909727>!\n\n1 - !help\n\n2 - !impressora_status_id + ID_DA_IMPRESSORA\n\n3 - impressora_status_name + NOME_DA_IMPRESSORA","components":[],"nonce":"16873097503036052946","enforce_nonce":true,"tts":false} has returned 200
[2025-11-03 12:30:26] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-11-03 12:30:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1360733329841979513/messages has received {'type': 0, 'content': 'Precisa de ajuda? <@497067650346909727>!\n\n1 - !help\n\n2 - !impressora_status_id + ID_DA_IMPRESSORA\n\n3 - impressora_status_name + NOME_DA_IMPRESSORA', 'mentions': [{'id': '497067650346909727', 'username': 'nearo_', 'avatar': '143de4d71e7c711f16b3866afba924ef', 'discriminator': '0', 'public_flags': 4194560, 'flags': 4194560, 'banner': None, 'accent_color': 8338201, 'global_name': 'nearo', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#7f3b19', 'clan': {'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'tag': 'osu!', 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'primary_guild': {'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'tag': 'osu!', 'badge': 'de1358870029aa9dae56e10c35a9c65d'}}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-11-03T15:30:24.017000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1434927702808334428', 'channel_id': '1360733329841979513', 'author': {'id': '1432391707496026265', 'username': 'MetabeeBOT', 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376', 'discriminator': '9543', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'd81487f3e541957868ce834f69a64033', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16873097503036052946'}
[2025-11-03 12:30:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-11-03 12:30:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 6, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQzNDkyNzcyMTg3MTQ0MTk3MzpuYzBZR2h3cWxBU2FYTXh3aVM4SGZFSmtYbGNJc1R2TWhkTVJZd3RqVDVGcGg2bnZsTkZFdTlyeGdKNDY5RmZNbjZoZ1RaSGV4VzJvcXJnR09DTGdQaGxOYzNlYm05ZjFlVDd5d28wd3lQNmZ6RFNzektZdTNmNU5vOW5UU3VuOQ', 'member': {'user': {'username': 'nearo_', 'public_flags': 4194560, 'primary_guild': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'id': '497067650346909727', 'global_name': 'nearo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'osu!', 'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'avatar_decoration_data': None, 'avatar': '143de4d71e7c711f16b3866afba924ef'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-01T16:37:47.998000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1434927721871441973', 'guild_locale': 'en-US', 'guild_id': '1235268950418260179', 'guild': {'locale': 'en-US', 'id': '1235268950418260179', 'features': ['COMMUNITY', 'NEWS']}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'help', 'id': '1434924280617107548'}, 'context': 0, 'channel_id': '1360733329841979513', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permissions': '9007199254740991', 'parent_id': '1235268951026700331', 'nsfw': False, 'name': 'bots', 'last_message_id': '1434927702808334428', 'id': '1360733329841979513', 'guild_id': '1235268950418260179', 'flags': 0}, 'authorizing_integration_owners': {'0': '1235268950418260179'}, 'attachment_size_limit': 10485760, 'application_id': '1432391707496026265', 'app_permissions': '4473902180335169'}}
[2025-11-03 12:30:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-03 12:30:30] [DEBUG   ] discord.client: Dispatching event interaction
